subject,trial,condition,order_byint,order,atc_scenario,ms_cutoff,restime,reserror
37,5,ATCint,3,8,2,17235.72073,4683.408801,0
37,14,ATCint,4,9,1,18249.58665,3702.882369,0
37,8,ATCint,5,10,4,21291.18443,3425.435648,0
37,3,Blank,1,3,NA,20277.3185,10198.92499,0
37,12,Blank,2,5,NA,23318.91628,5811.983393,0
37,15,Blank,3,12,NA,16221.8548,2907.919457,0
37,6,Blank,4,13,NA,14194.12295,5294.047328,0
37,9,Blank,5,14,NA,16221.8548,2786.573761,0
37,4,None,1,1,NA,11152.52518,2593.047328,0
37,1,None,2,6,NA,23318.91628,1878.983393,0
37,7,None,3,7,NA,20277.3185,4109.350401,0
37,10,None,4,11,NA,12166.3911,2153.350401,0
37,13,None,5,15,NA,15207.98888,1359.270688,0
38,15,ATCint,1,1,5,16221.8548,10626.28843,0
38,3,ATCint,2,3,3,20277.3185,12820.18824,0
38,9,ATCint,3,5,2,16221.8548,5347.918997,0
38,6,ATCint,4,10,4,14194.12295,5175.312729,0
38,12,ATCint,5,12,1,23318.91628,6260.300579,0
38,5,Blank,1,2,NA,17235.72073,3679.786403,0
38,14,Blank,2,4,NA,18249.58665,3694.180135,0
38,2,Blank,3,8,NA,11152.52518,2679.039441,0
38,8,Blank,4,13,NA,21291.18443,3158.69026,0
38,11,Blank,5,14,NA,19263.45258,1968.288428,0
38,7,None,1,6,NA,20277.3185,1067.67406,0
38,10,None,2,7,NA,12166.3911,1170.67406,0
38,4,None,3,9,NA,11152.52518,1484.312729,0
38,13,None,4,11,NA,15207.98888,2351.557666,0
38,1,None,5,15,NA,23318.91628,1110.300579,0
39,4,ATCint,1,1,1,11152.52518,4221.5365,0
39,13,ATCint,2,2,5,15207.98888,NA,1
39,7,ATCint,3,4,2,20277.3185,4284.727439,0
39,1,ATCint,4,7,3,23318.91628,4240.372891,0
39,10,ATCint,5,10,4,12166.3911,4117.727439,0
39,12,Blank,1,5,NA,23318.91628,7264.372891,0
39,9,Blank,2,11,NA,16221.8548,6526.909269,0
39,15,Blank,3,12,NA,16221.8548,4867.209281,0
39,3,Blank,4,13,NA,20277.3185,6836.418317,0
39,6,Blank,5,14,NA,14194.12295,3511.5365,0
